Unnamed: 0,Company,TypeName,Inches,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight
0.0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg
1.0,Apple,Ultrabook,13.3,1440x900,8GB,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg
2.0,HP,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.86kg
3.0,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16GB,512GB SSD,AMD Radeon Pro 455,macOS,1.83kg
4.0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37kg
5.0,Acer,Notebook,15.6,1366x768,4GB,500GB HDD,AMD Radeon R5,Windows 10,2.1kg
6.0,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04kg
7.0,Apple,Ultrabook,13.3,1440x900,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg
8.0,Asus,Ultrabook,14,Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3kg
9.0,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg
10.0,HP,Notebook,15.6,1366x768,4GB,500GB HDD,Intel HD Graphics 620,No OS,1.86kg
11.0,HP,Notebook,15.6,Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.86kg
12.0,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16GB,256GB SSD,AMD Radeon Pro 555,macOS,1.83kg
13.0,Dell,Notebook,15.6,Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg
14.0,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,8GB,256GB SSD,Intel HD Graphics 615,macOS,0.92kg
15.0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg
16.0,Dell,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg
17.0,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16GB,512GB SSD,AMD Radeon Pro 560,macOS,1.83kg
18.0,Lenovo,Notebook,15.6,Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg
19.0,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22kg
652.0,,,,,,,,,
21.0,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg
22.0,HP,Notebook,15.6,1366x768,4GB,500GB HDD,AMD Radeon R2,No OS,1.86kg
23.0,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg
24.0,HP,Ultrabook,15.6,Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.91kg
25.0,Dell,Notebook,15.6,1366x768,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg
26.0,Apple,Ultrabook,13.3,1440x900,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg
27.0,Dell,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
28.0,Dell,Ultrabook,15.6,Full HD 1920x1080,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg
29.0,HP,Notebook,17.3,Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg
30.0,Chuwi,Notebook,15.6,Full HD 1920x1080,4GB,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89kg
31.0,Asus,Notebook,14,1366x768,2GB,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65kg
32.0,HP,Notebook,17.3,Full HD 1920x1080,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.71kg
33.0,Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg
34.0,Apple,Ultrabook,13.3,1440x900,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg
35.0,Lenovo,Notebook,14,1366x768,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg
36.0,Acer,Notebook,15.6,1366x768,4GB,1TB HDD,Intel HD Graphics 620,Linux,2.1kg
37.0,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg
38.0,HP,Notebook,15.6,1366x768,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg
39.0,HP,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1kg
40.0,Asus,Notebook,15.6,Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 620,Linux,2kg
41.0,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg
42.0,Asus,Notebook,15.6,1366x768,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,2.3kg
43.0,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,4GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2kg
44.0,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,12GB,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77kg
45.0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8GB,256GB SSD,Intel Iris Graphics 540,macOS,1.37kg
47.0,Asus,Gaming,17.3,Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg
48.0,Dell,Notebook,15.6,Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3kg
49.0,Asus,Notebook,17.3,1366x768,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8kg
51.0,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2kg
52.0,HP,Notebook,15.6,Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg
53.0,HP,Notebook,13.3,Full HD 1920x1080,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg
54.0,Acer,Notebook,15.6,1366x768,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.4kg
55.0,Dell,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 520,Windows 10,2.13kg
56.0,HP,Notebook,15.6,Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.91kg
57.0,Asus,Notebook,15.6,1366x768,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg
58.0,MSI,Gaming,17.3,Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43kg
59.0,Asus,Notebook,15.6,Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 520,Linux,2kg
60.0,Dell,Notebook,17.3,Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8kg
61.0,Dell,Ultrabook,14,Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7kg
